k,covariance_type,silhouette,db
2,full,0.3304548451461697,2.397745458434341
2,tied,0.3455131018275661,1.5977151175909532
2,diag,0.3540767327068535,2.0556898959123013
2,spherical,0.11945061470527883,3.894096427491708
3,full,0.15554238139647625,2.290705287542612
3,tied,0.1595422317580021,2.1892097209603647
3,diag,0.10010832927655602,2.7874744045774666
3,spherical,0.08304786404089291,2.7530665065500965
4,full,0.16391772070327146,2.4718253149749754
4,tied,0.17068743244234527,2.453265299561052
4,diag,0.1738407354952279,2.356394699912977
4,spherical,0.10274093128792047,2.586965837633268
5,full,0.19343387102490064,2.137019558313802
5,tied,0.2034432391163012,2.1920969957586283
5,diag,0.19691025234688733,2.1362292419955446
5,spherical,0.13205399158756284,2.355995947825449
6,full,0.19172249229275143,1.9545436300704033
6,tied,0.20034299975976705,2.1467823782881976
6,diag,0.19039808123256058,1.9844870790811875
6,spherical,0.11401332708603369,2.111924068901206
7,full,0.2010495331582825,1.7921406555537112
7,tied,0.20942778111265767,1.937194620524236
7,diag,0.20362625214386315,1.802995493396622
7,spherical,0.12229910674739324,1.9174952743525624
8,full,0.20402597149257656,1.8115923993435477
8,tied,0.208470783617056,1.814507925444437
8,diag,0.20114204226404353,1.8588297882606604
8,spherical,0.14216122198403375,1.9686258628278135
9,full,0.21867801159364605,1.7331727124798957
9,tied,0.21954104662791837,1.7581099120720556
9,diag,0.22001465509906679,1.7303750547845476
9,spherical,0.1541912870833397,1.891438377214537
10,full,0.2275838140023917,1.6715044804764059
10,tied,0.23148288372604278,1.6372707517733347
10,diag,0.2289590317556367,1.6220356299649807
10,spherical,0.16571435397283024,1.7808557287425617
