k,covariance_type,silhouette,db
2,full,0.35376365614314276,2.083633242619056
2,tied,0.20111476340324622,1.9953336701307036
2,diag,0.35376365614314276,2.083633242619056
2,spherical,0.045402739408034444,1.7739998555910794
3,full,0.22568391952449257,1.677113648640679
3,tied,0.22608095391224065,1.706380864271728
3,diag,0.22568391952449257,1.677113648640679
3,spherical,0.08868592287992572,2.1147701582795673
4,full,0.19781195597779724,2.1534428538738535
4,tied,0.21422510768690933,1.936421253461573
4,diag,0.2241186969704799,2.1574309847969064
4,spherical,0.1365348698372045,2.351411170534674
5,full,0.23573570781561132,1.6100135654223915
5,tied,0.22957422980610892,1.4418488130503573
5,diag,0.23573570781561132,1.6100135654223915
5,spherical,0.16685870868723834,1.7592863462535075
6,full,0.25048475995659697,1.4399676245344928
6,tied,0.24556017128730284,1.3767569998218814
6,diag,0.24307589568509153,1.4518574257419328
6,spherical,0.17621641620605488,1.507936311766375
7,full,0.26914347679093564,1.3313606371471063
7,tied,0.2863567593098644,1.2417455129757773
7,diag,0.22300108131779145,1.6085439956568117
7,spherical,0.22866010919169663,1.525399707890726
8,full,0.30763415185305015,1.1769376697862803
8,tied,0.29347863803474,1.1823709699418485
8,diag,0.308293488114535,1.1766506943611663
8,spherical,0.22352123559595094,1.3940176746121962
9,full,0.2891932230755027,1.1949414172720332
9,tied,0.27675098777519636,1.1815456094364523
9,diag,0.20506686201008598,1.3137599318529745
9,spherical,0.25973325364344413,1.2752598144551763
10,full,0.27435766235023606,1.2866767957844067
10,tied,0.29099870235596587,1.121587114724829
10,diag,0.2810313988840841,1.2505714180371557
10,spherical,0.270647604803414,1.2821765825629536
