k,linkage,silhouette,db
2,ward,0.44392785339752766,1.4361604038164488
2,complete,0.5639405832784473,0.814130192838589
2,average,0.5639405832784473,0.814130192838589
2,single,0.5639405832784473,0.814130192838589
3,ward,0.30595801749917784,1.3446413876607852
3,complete,0.3887420134628362,1.0066570055670971
3,average,0.5517844279392123,1.0681361484406924
3,single,0.5517844279392123,1.0681361484406924
4,ward,0.20898236851361368,1.670891096959601
4,complete,0.38674680100955744,1.16863585388177
4,average,0.38674680100955744,1.16863585388177
4,single,0.38674680100955744,1.16863585388177
5,ward,0.21556128273207784,1.3999974581761057
5,complete,0.39443973008734934,1.1343127761007472
5,average,0.39443973008734934,1.1343127761007472
5,single,0.3804462739036609,1.0280910693881302
6,ward,0.23442057101456937,1.2441021194186768
6,complete,0.3886870274127723,1.1168950138976343
6,average,0.3886870274127723,1.1168950138976343
6,single,0.36517499328492,1.0104764147229963
7,ward,0.26055798490792703,1.324977710639134
7,complete,0.35165945147720973,1.148102035261145
7,average,0.3899305788990607,1.107921869920117
7,single,0.36351344159345944,0.9359150626965916
8,ward,0.2967204367997973,1.2481399461943465
8,complete,0.3529030029634982,1.1363496566103788
8,average,0.3900021563214364,1.0645264461176087
8,single,0.3664901221935842,0.9847124967366302
9,ward,0.3193638362712168,1.1713456611614301
9,complete,0.3434321717680145,1.4581427005884469
9,average,0.38862808679301253,0.9915098021541026
9,single,0.38862808679301253,0.9915098021541024
10,ward,0.3218849239065342,1.1441395997070878
10,complete,0.19804016088133763,1.7108797132932358
10,average,0.38021883131394446,1.0802692434035692
10,single,0.3877986146876594,0.9580046081158592
